Species,Common Name,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Fully Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Nonseasonal Breeding?,Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation,Modifiers,Base Social Form,Modifier,Full Sociality,Species,Female_Homosexuality,Male_Homosexuality,SSB,Solitary,Social_monogamy,Group_living
Acinonyx jubatus,Cheetah,3.1,0.275,43,N,N,4,3.6,30,18,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,VU,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Acinonyx_jubatus,1,1,1,Yes,No,No
Acomys cahirinus,Northeast African Spiny Mouse,1.3,0.00549,0.04,N,N,2.4,0.5,1.9,2,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,LC,,Female exclusive groups,,Female exclusive groups,Acomys_cahirinus,0,0,0,No,No,Yes
Aepyceros melampus,Impala,6.7,5.25,45,Y,Y,1,6,15.9,17,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC,SS,Harem with bachelor groups,,Harem with bachelor groups,Aepyceros_melampus,0,0,0,No,No,Yes
Ailuropoda melanoleuca,Giant Panda,4.3,0.14,85,N,N,1.6,6,78.4,73.1,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,VU,,Solitary,,Solitary,Ailuropoda_melanoleuca,0,0,0,Yes,No,No
Ailurus fulgens,Red Panda,4.4,0.12,4.5,N,N,1.9,4.6,19.1,18.3,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,VU,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Ailurus_fulgens,0,0,0,Yes,No,No
Alces alces,Moose (Eurasian Elk),7.8,13,270,Y,Y,1.3,4.5,16.5,16.5,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC,OG,Solitary, with occasional grouping,Solitary with occasional grouping,Alces_alces,1,1,1,Yes,No,No
Alopex lagopus,Arctic Fox,1.8,0.0825,3.415,N,N,4.8,1.7,10.1,10.1,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,LC,OG,Monogamous, with occasional grouping,Monogamous with occasional grouping,Alopex_lagopus,0,0,0,No,Yes,No
Alouatta caraya,Black Howler,6,0.2606,5.05,Y,Y,1,10.5,38.5,30.9,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,NT,SH,Multimale-Multifemale,,Multimale-Multifemale,Alouatta_caraya,0,0,0,No,No,Yes
Alouatta palliata,Mantled Howler,6.2,0.31829,5.25,N,Y,1,15.5,38,42.6,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,VU,SH,Multimale-Multifemale,,Multimale-Multifemale,Alouatta_palliata,0,0,0,No,No,Yes
Alouatta pigra,Guatemalan Black Howler,6.2,0.48,5.8,N,Y,1,20,,,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,EN,SH,Multimale-Multifemale,,Multimale-Multifemale,Alouatta_pigra,0,0,0,No,No,Yes
Alouatta seniculus,Venezuelan Red Howler,6.3,0.29342,5.5,Y,Y,1.4,12.3,49,56.3,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,LC,"SH, SS",Multimale-Multifemale with bachelor groups,,Multimale-Multifemale with bachelor groups,Alouatta_seniculus,0,0,0,No,No,Yes
Antechinus stuartii,Brown Antechinus,0.9,0.00001,0.028,Y,N,6.9,3,9.8,9.5,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC,"AS, SS",Multimale-Multifemale,,Multimale-Multifemale,Antechinus_stuartii,1,1,1,Yes,No,No
